YEAR,MONTH,DAY,Temperature at 2 Meters,Dew/Frost Point at 2 Meters,Temperature at 2 Meters Maximum,Temperature at 2 Meters Minimum,Specific Humidity at 2 Meters (g/kg),Relative Humidity at 2 Meters (%),Precipitation Corrected (mm/day),Wind Speed at 10 Meters
2013,3,13,20.35,9.82,27.06,16.06,7.75,53.56,0.02,2.2
2013,3,14,19.67,12.79,27.02,14.4,9.4,68.88,7.06,2.77
2013,3,15,18.78,10.48,26.46,11.93,8,63.44,0,1.99
2013,3,16,20.55,7.76,29.19,11.75,6.65,48.75,0,2.36
2013,3,17,21.81,7.02,30.77,14.43,6.35,41.75,0,2.38
2013,3,18,22.28,9.06,31.69,13.9,7.32,46.88,0,3.21
2013,3,19,23.12,10.33,33.26,15.19,8,48.31,0,3.11
2013,3,20,24.71,10.33,33.86,17.64,8,44.62,0,2.23
2013,3,21,23.6,9.64,33.43,16.14,7.69,47,0,4.19
2013,3,22,22.9,7.72,31.62,13.19,6.77,42.81,0,2.88
2013,3,23,24.75,9.51,33.58,17.96,7.75,42.19,4.02,3.2
2013,3,24,22.45,10.03,30.44,15.95,7.87,49.44,1.76,2.78
2013,3,25,20.98,8.51,30.01,13.94,7.02,48.88,0,3.42
2013,3,26,20.78,7.78,29.38,11.94,6.77,48.31,0,2.91
2013,3,27,23.12,9.11,29.99,16.89,7.39,42.88,0.01,1.96
2013,3,28,23.12,10.4,29.58,19.8,8,46.06,0.48,1.73
2013,3,29,23.3,11.03,31.44,15.34,8.36,49.94,0.16,2.87
2013,3,30,23.81,10.75,31.78,15.97,8.24,47.44,0.06,2.63
2013,3,31,25.43,10.3,33.98,16.83,8,41.94,0,2.41
2013,4,1,27.39,7.83,35.8,18.98,6.77,32.69,0,1.67
2013,4,2,25.86,7.66,33.54,20.26,6.71,34.12,0.87,2.5
2013,4,3,24.06,10.23,32.54,17.76,8.06,47.38,0.44,3.81
2013,4,4,24.13,6.85,33.66,14.89,6.35,38.44,0,3.66
2013,4,5,24.11,5.74,34.32,15.15,5.86,35.38,0,4.16
2013,4,6,25.92,4.06,36.33,15.82,5.31,29.25,0,3.14
2013,4,7,27.45,8.73,36.31,20.34,7.2,33.31,0,3.29
2013,4,8,27.83,9.92,36.24,19.59,7.81,35.62,0,3.03
2013,4,9,28.73,10.55,37.53,20.82,8.18,36.56,0.01,1.95
2013,4,10,26.57,11.15,33.74,20.22,8.48,41.12,1.7,2.52
2013,4,11,27.16,10.58,35.4,19.51,8.12,38.5,0,3.3
2013,4,12,27.69,9.96,35.87,19.53,7.81,36.19,0,2.62
2013,4,13,29.23,10.23,37.51,20.55,7.93,33.88,0,2.32
2013,4,14,28.69,10.94,36.2,21.1,8.42,37,0.48,3.14
2013,4,15,29.84,10.16,37.98,20.95,7.93,32.69,0,2.19
2013,4,16,30.11,8.98,38.43,22.42,7.39,29.19,0.19,3.59
2013,4,17,28.52,4.31,38.68,19.62,5.55,26.5,0,3.38
2013,4,18,28.56,1.61,38.55,18.97,4.46,21.62,0,2.49
2013,4,19,29.84,3.71,39.38,21.12,5.13,21.69,0,2.56
2013,4,20,29.65,5.9,37.22,22.47,5.98,24.25,0.03,2.94
2013,4,21,25.63,10.53,30.33,20.94,8.12,39.62,0.38,3.14
2013,4,22,27.34,11.11,35.55,18.33,8.42,40.31,0.13,2.49
2013,4,23,28.96,11.4,36.5,21.35,8.54,36.19,0,3.13
2013,4,24,30.74,11.24,38.45,23.04,8.48,32.75,0.23,3.28
2013,4,25,30.08,11.44,36.51,23.87,8.61,33.12,0.49,2.36
2013,4,26,29.77,12.38,36.43,22.98,9.16,36.06,3.45,3.01
2013,4,27,28.23,10.98,36.23,22.73,8.36,36.31,0.1,4.33
2013,4,28,29.05,9.17,37.56,20.91,7.51,32.88,0,4.02
2013,4,29,30.12,7.1,37.34,22.9,6.41,24.94,0,1.81
2013,4,30,31.01,3.01,39.87,22.23,4.88,19.25,0,2.94
2013,5,1,30.24,0.14,39.56,20.47,4.15,18.38,0,3.93
2013,5,2,29.58,1.72,39.05,20.14,4.52,19.81,0,4.38
2013,5,3,30.68,-1.29,40.76,20.5,3.6,15,0,3.52
2013,5,4,33.12,1.1,42.57,22.8,4.21,15.12,0,2.79
2013,5,5,34.36,3.54,43.83,24.8,5.07,16.62,0,3.8
2013,5,6,33.63,4.75,42.16,24.69,5.49,18.75,0,3.81
2013,5,7,34.03,4.55,42.73,24.97,5.37,17.5,0,4.22
2013,5,8,34.23,6.65,42.16,26.57,6.23,19.5,0.38,4.55
2013,5,9,34.73,5.8,43.19,25.58,5.92,18.69,0,3.79
2013,5,10,35.21,7.59,43.18,26.66,6.65,19.69,0.01,2.88
2013,5,11,33.52,10.42,39.97,26.8,8.12,25.44,2.61,2.74
2013,5,12,30.05,12.78,34.89,26.02,9.4,35.38,0.44,2.22
2013,5,13,30.97,12.33,38.31,23.36,9.16,34,0.28,2.49
2013,5,14,32.34,10.56,39.57,24.57,8.18,28.19,0.18,3.01
2013,5,15,33.32,8.05,41.36,24.48,6.96,23.44,0,3.51
2013,5,16,34.12,7.4,42.9,25.31,6.71,22.06,0.12,4.05
2013,5,17,35.05,1.58,44.94,24.65,4.33,13.75,0,3.68
2013,5,18,36.44,-0.24,46.23,25.42,3.78,10.69,0,3.16
2013,5,19,37.87,1.58,47.04,29.25,4.33,11.06,0,3.08
2013,5,20,37.65,-0.13,46.65,27.45,3.78,9.94,0,2.3
2013,5,21,38.05,1.95,47.15,28.9,4.46,11.56,0,3.7
2013,5,22,38.08,3.48,47.28,28.47,5,12.81,0,4.68
2013,5,23,38.9,2.87,48.46,28.43,4.76,11.62,0,4.29
2013,5,24,39.46,1.56,48.65,29.46,4.33,10.25,0,3.6
2013,5,25,39.4,9.02,46.73,31.98,7.39,16.75,0,5.13
2013,5,26,38.61,10.87,45.69,31.1,8.36,19.75,0.13,4.01
2013,5,27,37.9,10.79,44.33,30.88,8.42,20.62,0.6,2.95
2013,5,28,36.44,1.97,43.95,28.03,4.52,12.56,0,3.16
2013,5,29,35.23,0.96,42.66,26.77,4.15,12.31,0,4.44
2013,5,30,35.05,-0.34,43.48,25.81,3.78,11.25,0,3.61
2013,5,31,36.33,-0.7,44.99,26.4,3.66,10.19,0,2.89
2013,6,1,37.28,-0.04,44.6,29.12,3.85,9.88,0,2.51
2013,6,2,36.91,2.42,44.12,28.02,4.64,12.06,0,2.66
2013,6,3,37.3,8.56,44.28,29.05,7.14,18.25,0.24,2.67
2013,6,4,37.74,9.47,45.29,29.63,7.57,19.19,0,2.89
2013,6,5,39.6,8.85,47.38,30.23,7.26,16.56,0,3.23
2013,6,6,40.58,4.65,48.15,32.58,5.43,12.06,0,2.87
2013,6,7,39.49,8.17,46.59,31.04,7.08,15.56,0,2.52
2013,6,8,39.47,4.79,46.07,32.2,5.49,12.44,0,1.81
2013,6,9,40.2,7.33,47.71,31.08,6.65,14.44,0,2.42
2013,6,10,40.69,15.03,47,33.42,11.05,23.06,0,3.07
2013,6,11,40.71,17.76,46.99,34.48,13.18,27.69,5.06,4.76
2013,6,12,33.48,23.44,36.66,29.62,18.68,56.88,21.01,1.43
2013,6,13,34.56,22.15,39.04,30.19,17.21,50.06,1.83,2.74
2013,6,14,34.33,21.72,39.29,28.97,16.85,49.88,7.16,1.79
2013,6,15,30.86,22.47,33.02,27.31,17.58,61.81,31.06,2.66
2013,6,16,31.11,20.05,36.24,25.89,15.26,54.5,1.72,1.87
2013,6,17,31.97,17.4,37.06,25.98,12.88,43.69,3.14,1.67
2013,6,18,32.63,16.52,38.17,26.31,12.21,40.69,2.25,1.95
2013,6,19,33.32,16.05,40.04,25.43,11.78,38.06,0,2.34
2013,6,20,35.52,17.62,42.46,27.39,13,36.88,0,2.65
2013,6,21,37.53,18.07,43.58,29.73,13.43,33.94,0,1.41
2013,6,22,37.51,17.46,44.65,29.62,13,33.25,0,2.82
2013,6,23,37.56,18.08,44.48,29.86,13.49,33.94,0,3.05
2013,6,24,38.08,17.74,45.04,30.33,13.18,32.44,0,2.87
2013,6,25,36.65,17.34,43.38,30.16,12.88,34,0.08,2.62
2013,6,26,36.91,19.7,43.75,29.27,14.89,39.38,0.44,1.96
2013,6,27,36.93,18.57,42.24,31.16,13.85,36.06,0.29,2.77
2013,6,28,37.08,20.65,43.01,30.43,15.81,40.69,3.07,1.52
2013,6,29,37.55,21.06,42.23,31.64,16.24,40.06,2.89,1.61
2013,6,30,36.05,21.08,41.14,31.43,16.24,43.94,3.57,2.26
2013,7,1,36.71,18.04,42.52,31.54,13.49,35.62,0,2.46
2013,7,2,36.7,17.04,43.27,29.69,12.57,33.56,0.01,2.04
2013,7,3,37.09,15.93,43.17,30.15,11.78,30.88,0.08,1.53
2013,7,4,37.19,16.08,42.97,30.69,11.84,30,0,1.74
2013,7,5,37.3,17.77,42.77,31.61,13.18,33.12,1.67,1.96
2013,7,6,35.55,21.9,40.07,31.52,17.09,46.44,13.92,2.79
2013,7,7,34.19,24.4,37.95,30.35,19.78,57.81,14.68,2.11
2013,7,8,34.22,24.81,38.26,29.73,20.32,59.44,18.96,1.8
2013,7,9,33.76,24.3,37.48,30.07,19.71,59.12,18.54,2.2
2013,7,10,32.65,23.53,36.57,28.54,18.8,60.19,7.57,1.88
2013,7,11,33.39,22.18,37.94,28.12,17.27,53.75,4.72,1.06
2013,7,12,33.89,21.59,38.06,28.74,16.6,49.94,7.05,1.21
2013,7,13,34.64,21.81,40.29,28.51,16.91,49.62,0.34,1.93
2013,7,14,35.72,21.82,41.17,29.18,16.91,46.38,1,2.15
2013,7,15,35.53,22.2,40.63,30.23,17.4,48.19,6.26,2.23
2013,7,16,35.4,22.4,41.4,29.2,17.58,49.81,2.13,1.51
2013,7,17,35.23,24.33,39.6,30.05,19.71,55.06,10.32,1.41
2013,7,18,35.12,23.27,40.23,29.69,18.62,52.75,2.39,1.94
2013,7,19,36.01,22.52,41.7,30.08,17.82,48.25,7.57,2.33
2013,7,20,32.36,24.36,36.81,28.06,19.78,64,20.85,3.32
2013,7,21,31.73,24.76,36.33,26.99,20.26,68.56,5.16,0.94
2013,7,22,34,24.07,38.72,29.23,19.47,58,0,1.28
2013,7,23,34.34,23.31,39.51,29.1,18.55,55,1.16,1.99
2013,7,24,33.99,23.15,39.26,28.57,18.37,55.44,1.75,2.37
2013,7,25,34.35,22.85,39.27,28.86,18.07,53.38,2.83,1.68
2013,7,26,34.12,21.49,38.95,28.77,16.66,49.88,1.61,1.51
2013,7,27,34.46,22.83,39.53,28.56,18.01,52.88,0.09,1.48
2013,7,28,35.19,23.44,40,29.82,18.68,52.38,0.15,2.27
2013,7,29,34.73,24.01,39.3,30.39,19.35,55.31,6.5,2.63
2013,7,30,33.98,24.01,38.38,30.23,19.35,57.38,2.91,1.91
2013,7,31,35.33,23.85,40.9,29.8,19.23,53.75,1.2,2.7
2013,8,1,33.49,24.61,37.53,29.67,20.08,61.25,7.07,2.7
2013,8,2,29.9,25.65,31.77,28.11,21.24,78.31,13.76,2.2
2013,8,3,30.94,25.01,34.36,27.13,20.45,72.06,17.31,2.32
2013,8,4,32.92,24.22,37.19,27.68,19.47,62.06,0.76,0.95
2013,8,5,33.16,24.58,37.63,29.05,20.02,62.44,15.05,2.1
2013,8,6,31.28,24.8,36.01,26.84,20.2,69.81,30.54,4.23
2013,8,7,30.7,24.78,36.09,25.76,20.14,72.88,8.39,2.37
2013,8,8,32.26,24.23,37.69,26.53,19.59,65,0.48,2.14
2013,8,9,32.85,23.94,37.54,28.75,19.23,61.31,0.01,3.26
2013,8,10,29.39,24.75,32.8,26.99,20.14,76.69,2.5,2.8
2013,8,11,30.24,24.95,34.55,26.26,20.32,74.62,2.83,2.25
2013,8,12,31.2,25.08,34.98,27.14,20.51,71.19,2.91,1.27
2013,8,13,30.68,24.58,35.17,26.78,19.96,71.5,3.31,3.83
2013,8,14,28.54,24.92,31.73,26.11,20.32,81.56,16.07,3.47
2013,8,15,28.22,24.79,31.42,25.7,20.14,82.5,38.74,2.21
2013,8,16,27.23,25.33,29.28,25.31,20.87,89.56,27.94,2.12
2013,8,17,27.9,25.3,30.99,25.26,20.81,86.25,30.84,2.08
2013,8,18,29.26,25.49,32.57,25.8,21.06,80.94,20,1.37
2013,8,19,30.02,24.72,34.58,25.3,20.08,74.88,4.43,1.91
2013,8,20,29.75,24.12,33.98,24.58,19.41,73.44,0.1,1.16
2013,8,21,30.37,23.4,35.01,25.66,18.62,68,0.26,1.41
2013,8,22,30.08,22.4,35.87,24.48,17.52,66.62,0.36,2.1
2013,8,23,30.24,22.93,35.95,24.62,18.01,67.19,0,1.7
2013,8,24,30.58,23.55,35.62,25.32,18.74,68.06,0,1.62
2013,8,25,31.25,23.69,36.35,25.52,18.92,66.38,0,1.85
2013,8,26,31.36,22.69,37.21,25.81,17.82,62.62,0,1.66
2013,8,27,31.26,21.35,37.76,24.71,16.48,58.75,2.7,2.39
2013,8,28,30.15,21.45,36.07,24.7,16.54,62.25,1.66,2
2013,8,29,30.23,21.55,35.98,24.62,16.54,62.06,0.97,2.12
2013,8,30,30.92,22.24,36.69,25.4,17.27,62.31,0.16,2.14
2013,8,31,31.08,21.3,36.76,26.01,16.36,58.56,0.21,1.57
2013,9,1,30.58,20.89,36.63,24.96,15.93,58.88,0.32,1.91
2013,9,2,30.73,21.06,36.87,24.47,16.11,59.25,1.49,1.61
2013,9,3,30.7,20.79,37.26,24.88,15.87,58.69,0.88,1.87
2013,9,4,30.58,19.31,36.78,24.2,14.53,54.88,0.43,1.82
2013,9,5,29.91,17.9,36.66,23.33,13.31,51.75,2.82,1.97
2013,9,6,28.84,18.79,35.7,23.08,13.98,58.25,4.7,1.99
2013,9,7,28.88,18.3,36.2,22.44,13.55,56.31,0,1.65
2013,9,8,28.9,18.81,36.15,23.63,13.98,57.81,0.33,2.88
2013,9,9,27.89,20.4,34.81,21.98,15.38,67.38,0.55,2.41
2013,9,10,29.08,20.83,35.21,23.47,15.81,64.31,0.02,1.76
2013,9,11,29.24,19.12,36.28,23.18,14.34,59.06,0,2.55
2013,9,12,28.8,19.54,35.69,22.96,14.59,60.31,0,2.74
2013,9,13,29.31,20.96,35.72,23.55,15.87,63.44,0,1.71
2013,9,14,29.75,20.26,35.74,23.78,15.26,59.62,0,1.41
2013,9,15,29.6,18.01,36.87,23.75,13.43,54.25,0.62,1.66
2013,9,16,28.12,17.64,34.57,23.07,13,56.62,1.67,1.55
2013,9,17,28.55,17.28,35.85,22.11,12.7,53.88,0,1.93
2013,9,18,29.56,15.93,36.9,23.8,11.66,46.62,0,1.56
2013,9,19,29.51,15.57,36.68,22.58,11.35,45.31,0,1.62
2013,9,20,29.03,16.35,37.05,21.54,11.96,49.69,0,2.02
2013,9,21,28.97,19.29,36.37,21.85,14.4,59.19,0.39,2.09
2013,9,22,30.08,19.94,36.52,24.5,14.95,57.38,0,1.49
2013,9,23,30.79,20.84,36.58,24.62,15.81,57.25,0.89,1.5
2013,9,24,31.05,20.78,37.4,25.92,15.81,57,2.64,1.53
2013,9,25,30.56,20.08,37.2,24.87,15.08,56.25,0,1.85
2013,9,26,30.52,20.58,36.35,24.78,15.5,57.69,0.05,1.69
2013,9,27,31.3,20.59,36.83,26.27,15.56,55,1.22,2.27
2013,9,28,30.72,19.22,36.27,25.24,14.28,52.31,0.62,1.55
2013,9,29,30.19,19.07,35.96,25.28,14.16,53.06,0.04,1.34
2013,9,30,29.74,18.9,35.55,24.51,13.98,54.19,0.02,1.81
2013,10,1,29.58,19.66,35.26,24.18,14.59,57.19,0.39,1.34
2013,10,2,29.81,19.65,35.68,24.61,14.59,56.25,0,1.37
2013,10,3,29.58,20.15,34.19,24.97,15.08,58.19,2.36,1.35
2013,10,4,28.58,20.07,33.22,24.35,15.01,61.44,2.78,2
2013,10,5,29.44,19.55,35.2,23.96,14.59,57.19,0.55,2.35
2013,10,6,30.19,18.53,36.61,24.06,13.67,51.75,0,1.77
2013,10,7,30.41,19.48,36.44,25.14,14.47,53.75,0,2.09
2013,10,8,30.95,18.93,36.96,24.99,13.98,51.19,0,1.46
2013,10,9,30.4,19.26,35.97,25.36,14.22,52.94,0,1.49
2013,10,10,30.76,19.31,36.39,25.4,14.28,52.44,0,1.45
2013,10,11,28.55,20.49,33.83,24.22,15.38,63.62,16.79,1.77
2013,10,12,25.56,20.58,30.22,22.41,15.5,75.69,3.38,2.07
2013,10,13,26.47,17.67,32.96,20.68,12.88,61.38,0,1.25
2013,10,14,27.01,15.84,34.42,20.62,11.47,53.31,0,2.48
2013,10,15,27.41,13.97,34.22,21.52,10.19,46,0,1.45
2013,10,16,27.23,13.74,34.45,21.1,10.01,45.62,0,1.51
2013,10,17,27.24,13.4,34.58,21.37,9.77,45,0,1.44
2013,10,18,26.92,12.87,35.26,20.76,9.46,44.69,0,2.88
2013,10,19,26.98,9.12,34.28,20.78,7.45,35.62,0,1.16
2013,10,20,27.05,7.62,33.83,21.37,6.65,30.25,0,0.8
2013,10,21,25.17,7.05,32.72,18.41,6.47,33.94,0,1.33
2013,10,22,23.71,7.84,32.16,16.25,6.77,39.25,0,1.88
2013,10,23,23.01,9.58,31.08,16.28,7.57,44.81,0,1.96
2013,10,24,24.03,10.86,31.94,17.81,8.24,45.38,0,1.7
2013,10,25,24.69,9.45,31.87,18.38,7.51,39.69,0,1.71
2013,10,26,24.4,8.26,31.44,17.73,6.96,37.75,0,1.13
2013,10,27,23.5,9.24,30.35,18.04,7.45,41.75,0,1.65
2013,10,28,23.8,8.06,31.76,16.62,6.9,39.88,0,2.52
2013,10,29,23.64,5.38,32.15,18.64,5.74,32.5,0,1.49
2013,10,30,23.83,5.97,32.01,18.27,5.92,33.88,0,1.59
2013,10,31,22.86,7.44,30.61,18.23,6.53,38.94,0.15,3.03
2013,11,1,21.22,6.76,29.07,15.83,6.23,40.81,0.04,2.38
2013,11,2,21.58,3.47,30.14,15.17,5,32.81,0,2.94
2013,11,3,21.51,0.54,29.45,14,4.09,27.62,0,2.17
2013,11,4,21.44,-0.94,29.32,14.59,3.6,23.69,0,1.82
2013,11,5,20.48,0.74,27.06,17.17,4.15,27.88,0,1.45
2013,11,6,17.96,8.14,25.21,14.4,6.9,55.31,0.45,3.59
2013,11,7,17.46,11.48,24.18,12.27,8.54,70.75,3.49,1.94
2013,11,8,17.33,9.8,24.25,11.79,7.63,64.25,5.24,2.55
2013,11,9,17.71,7.78,24.96,12.2,6.65,54.44,0,1.7
2013,11,10,17.81,5.58,26.67,11.09,5.74,47.38,0,2.88
2013,11,11,18.13,4.19,26.83,11.65,5.25,42.75,0,3.06
2013,11,12,19.8,3.16,27.57,11.9,4.88,35.88,0,1.35
2013,11,13,18.19,2.21,26.36,12.46,4.52,36.5,0,1.8
2013,11,14,16.66,0.93,26.24,9.63,4.15,38.06,0,3.2
2013,11,15,17.08,-0.88,26.84,9.54,3.66,32.44,0,2.64
2013,11,16,18.36,-1.78,27.27,12.73,3.42,27,0,1.84
2013,11,17,17.83,-1.99,27.42,12.13,3.36,27.81,0,2.47
2013,11,18,17.28,-0.98,28.55,8.8,3.6,32.06,0,3.37
2013,11,19,19.09,-0.26,28.2,11.6,3.78,29.44,0,2.2
2013,11,20,20.65,-1.82,29.01,14.11,3.42,23.38,0,1.65
2013,11,21,19.48,0.1,27.92,13.48,3.97,28.38,0,1.47
2013,11,22,18.43,2.14,27.2,12.85,4.52,35.5,0,1.94
2013,11,23,18.62,2.19,27.63,13.21,4.52,34.69,0,2.12
2013,11,24,19.05,2.3,28.57,12.33,4.58,35.06,0,3.52
2013,11,25,19.27,3.33,28.94,12.51,4.94,36.56,0,3.27
2013,11,26,19.68,3.62,29.63,12.52,5,37.38,0,3.3
2013,11,27,19.79,3,28.97,13.01,4.82,34.94,0,2.23
2013,11,28,20.35,2.16,29.05,15.05,4.52,30.75,0,2.05
2013,11,29,18.4,-0.18,28.93,11.4,3.78,31.06,0,3.75
2013,11,30,18.03,-1.29,28.73,9.65,3.54,29.31,0,2.75
2013,12,1,18.6,-1.12,27.16,13.26,3.6,27.25,0,1.58
2013,12,2,18.18,0.23,27.51,11.4,3.97,32.56,0,2.45
2013,12,3,18.21,0.41,26.19,13.05,3.97,31.94,0,1.04
2013,12,4,17.15,0.23,25.98,12.39,3.91,33.19,0,2.37
2013,12,5,16.37,-0.63,26.36,9.82,3.72,34.12,0,2.93
2013,12,6,18.13,-2.03,27.98,12.02,3.36,27.06,0,2.9
2013,12,7,18.89,-1.87,26.4,12.51,3.36,25.44,0,1.35
2013,12,8,17.72,-0.31,25.25,12.15,3.78,30.75,0,1.19
2013,12,9,17.16,2.69,25.33,10.45,4.7,39.44,0,2
2013,12,10,16.83,2.26,25.43,10.61,4.58,39.62,0,2.45
2013,12,11,15.94,1.58,25.15,9.74,4.33,39.56,0,3.13
2013,12,12,16.62,2.72,26.14,10.4,4.7,42.25,0,4.2
2013,12,13,16.5,-1.13,28.01,9,3.6,34.69,0,4.45
2013,12,14,17.24,-5.12,28.54,9.03,2.62,23.25,0,2.58
2013,12,15,14.77,-0.09,23.17,8.13,3.91,38.19,0,2.36
2013,12,16,14.69,2.73,22.52,9.1,4.7,47.69,0,1.34
2013,12,17,14.94,2.34,21.77,10.62,4.58,45,0,1.13
2013,12,18,14.82,-1,22.82,9.35,3.6,35.44,0,1.45
2013,12,19,13.4,-2.5,22.36,7.56,3.23,34.5,0,2.23
2013,12,20,13.29,-4.9,22.36,6.98,2.69,28.94,0,2.72
2013,12,21,12.91,-2.66,18.83,9.1,3.23,34.31,2.87,1.35
2013,12,22,11.71,-1.27,19.7,6.66,3.54,42.25,0.06,2.45
2013,12,23,11.29,-3.84,20.07,5.66,2.87,36.56,0,3.6
2013,12,24,11.05,-4.88,20.54,4.73,2.62,34,0,2.89
2013,12,25,11,-6.34,21.73,4.13,2.38,31.56,0,3.65
2013,12,26,11.06,-8.76,21.38,3.2,1.95,26.12,0,3.12
2013,12,27,11.95,-9.24,19.54,6.41,1.83,21.62,0,1.16
2013,12,28,11.54,-8.93,19,6.36,1.89,22.94,0,1.45
2013,12,29,10.13,-10.21,18.27,3.7,1.71,23.19,0,2
